id,name,description,videoURL,mainImageURL,carouselImagesURL,logoURL,recentReviews,allReviews,releaseDate,developer,publisher,tags
1,Treeflex,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",http://dummyimage.com/600x379.jpg/dddddd/000000,http://dummyimage.com/600x369.png/cc0000/ffffff,http://dummyimage.com/115x65.jpg/ff4444/ffffff,http://dummyimage.com/350x150.png/cc0000/ffffff,time-frame,tangible,4/22/2009,Moore-McCullough,"Parker, Parisian and Collins",moderator
2,Trippledex,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",http://dummyimage.com/600x379.png/ff4444/ffffff,http://dummyimage.com/600x347.jpg/dddddd/000000,http://dummyimage.com/115x65.bmp/cc0000/ffffff,http://dummyimage.com/350x150.jpg/ff4444/ffffff,Open-source,encompassing,2/17/2009,"Schiller, Farrell and Anderson","Veum, Lueilwitz and Ward",Persevering
3,Viva,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",http://dummyimage.com/600x335.png/ff4444/ffffff,http://dummyimage.com/600x364.bmp/dddddd/000000,http://dummyimage.com/115x65.bmp/5fa2dd/ffffff,http://dummyimage.com/350x150.png/ff4444/ffffff,Reverse-engineered,clear-thinking,6/20/2015,Harris-Cassin,Price Inc,neutral
4,Prodder,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",http://dummyimage.com/600x326.png/dddddd/000000,http://dummyimage.com/600x388.bmp/dddddd/000000,http://dummyimage.com/115x65.jpg/ff4444/ffffff,http://dummyimage.com/350x150.png/ff4444/ffffff,data-warehouse,open architecture,5/3/2010,Kohler and Sons,"Kertzmann, Kub and Kulas",forecast
5,Zaam-Dox,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",http://dummyimage.com/600x307.bmp/5fa2dd/ffffff,http://dummyimage.com/600x310.bmp/dddddd/000000,http://dummyimage.com/115x65.jpg/5fa2dd/ffffff,http://dummyimage.com/350x150.jpg/5fa2dd/ffffff,high-level,encompassing,6/26/2010,"Schroeder, Lueilwitz and Batz",Farrell Inc,policy
6,Namfix,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",http://dummyimage.com/600x326.jpg/ff4444/ffffff,http://dummyimage.com/600x398.png/dddddd/000000,http://dummyimage.com/115x65.jpg/dddddd/000000,http://dummyimage.com/350x150.png/5fa2dd/ffffff,directional,Cloned,10/4/2008,Koepp LLC,"Keebler, Hamill and Boyle",Customer-focused
7,Bytecard,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,http://dummyimage.com/600x366.jpg/dddddd/000000,http://dummyimage.com/600x394.bmp/5fa2dd/ffffff,http://dummyimage.com/115x65.jpg/5fa2dd/ffffff,http://dummyimage.com/350x150.bmp/dddddd/000000,Robust,flexibility,5/1/2010,Lindgren-Mertz,Anderson and Sons,Face to face
8,Bamity,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",http://dummyimage.com/600x314.bmp/ff4444/ffffff,http://dummyimage.com/600x383.bmp/cc0000/ffffff,http://dummyimage.com/115x65.bmp/cc0000/ffffff,http://dummyimage.com/350x150.bmp/cc0000/ffffff,projection,foreground,1/19/2011,"Legros, Anderson and Goodwin","Kub, Treutel and Schroeder",project
9,Alpha,"Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",http://dummyimage.com/600x320.jpg/dddddd/000000,http://dummyimage.com/600x394.bmp/5fa2dd/ffffff,http://dummyimage.com/115x65.bmp/cc0000/ffffff,http://dummyimage.com/350x150.jpg/5fa2dd/ffffff,Organic,matrices,7/7/2012,Wilderman-Wiza,Bechtelar LLC,Exclusive
10,Andalax,"Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",http://dummyimage.com/600x314.jpg/dddddd/000000,http://dummyimage.com/600x399.jpg/cc0000/ffffff,http://dummyimage.com/115x65.png/ff4444/ffffff,http://dummyimage.com/350x150.png/dddddd/000000,Implemented,data-warehouse,5/22/2013,Schuppe Inc,Zemlak-Reilly,Team-oriented
11,Pannier,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",http://dummyimage.com/600x394.png/ff4444/ffffff,http://dummyimage.com/600x364.jpg/cc0000/ffffff,http://dummyimage.com/115x65.bmp/cc0000/ffffff,http://dummyimage.com/350x150.bmp/5fa2dd/ffffff,algorithm,user-facing,3/24/2014,Considine and Sons,"Wisozk, Funk and Yundt",open architecture
